  lc        k         e         sdir      sby       sbz       ux        uy        uz        Di        Do        t       
  -         -         -         MPa       MPa       MPa       -         -         -         mm        mm        mm      
        1.        1.        1.  0.71E+01  0.18E-04  0.31E-04  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        1.        2.       11.  0.71E+01  0.61E-03  0.31E-04  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        1.        3.       21.  0.74E+01  0.62E-01  0.11E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        1.        4.       10.  0.64E+01  0.34E-02  0.59E-02  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        1.        4.       31.  0.52E+01  0.22E+01  0.47E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        1.        4.      181.  0.37E+00  0.11E-02  0.14E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        1.        4.      234.  0.39E+00  0.86E-03  0.20E+00  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        1.        5.       20.  0.64E+01  0.15E-01  0.58E-02  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        1.        5.       81.  0.52E+01  0.15E+01  0.17E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        1.        5.      198.  0.37E+00  0.27E-02  0.14E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        1.        5.      199.  0.38E+00  0.30E-02  0.23E+00  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        1.        6.       30.  0.67E+01  0.12E+01  0.20E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        1.        6.      131.  0.53E+01  0.23E+01  0.40E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        1.        6.      216.  0.38E+00  0.21E-01  0.34E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        1.        6.      217.  0.38E+00  0.17E-01  0.34E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
